id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
75,Neon Dusk,Orbit Bloom,ambient,chill,0.26,64,0.62,0.40,0.87
76,Pump It Up,Max Pulse,pop,excited,0.93,132,0.84,0.88,0.06
77,Sweet Tea Porch,Dusty Trail,country,relaxed,0.40,88,0.72,0.55,0.82
78,Deep Cut,King Vertex,hip-hop,moody,0.72,98,0.34,0.82,0.11
79,Raindrop Waltz,Clara Voss,classical,sad,0.16,64,0.28,0.22,0.97
80,Bass Drop City,Bass Unit,edm,excited,0.94,144,0.72,0.90,0.03
81,Whispering Pines,Hollow Oak,folk,nostalgic,0.30,86,0.62,0.42,0.92
82,Voodoo Funk,Harmony Jones,soul,moody,0.62,102,0.48,0.72,0.28
83,Crimson Tide,Voltline,rock,moody,0.78,138,0.38,0.60,0.14
84,Silk Road,Satin Groove,r&b,chill,0.46,82,0.70,0.66,0.40
85,Tidal Wave,Iron Hollow,metal,intense,0.94,162,0.30,0.42,0.06
86,Tropicana Nights,Neon Echo,pop,excited,0.87,126,0.88,0.86,0.09
87,Foggy Morning,Paper Lanterns,lofi,chill,0.32,74,0.52,0.50,0.84
88,Miles Away,Slow Stereo,jazz,nostalgic,0.38,90,0.60,0.54,0.84
89,Electric Gospel,Harmony Jones,soul,happy,0.70,106,0.88,0.76,0.24
90,Fracture Point,Velvet Circuit,electronic,intense,0.82,128,0.42,0.82,0.08
91,Lullaby Engine,Orbit Bloom,ambient,chill,0.18,58,0.65,0.34,0.91
92,Dusty Strings,Eli Marsh,blues,nostalgic,0.36,74,0.44,0.46,0.87
93,Wildfire,Voltline,rock,excited,0.90,152,0.68,0.68,0.11
94,Dance All Night,Indigo Parade,indie pop,excited,0.80,126,0.86,0.82,0.24
95,Midnight Gospel,LoRoom,lofi,focused,0.42,80,0.56,0.58,0.77
96,Storm Chaser,Iron Hollow,metal,moody,0.88,158,0.36,0.46,0.08
97,Heartland,Dusty Trail,country,nostalgic,0.46,92,0.66,0.56,0.78
98,Velvet Underground,Satin Groove,r&b,romantic,0.54,86,0.78,0.72,0.36
99,Frequency Horizon,Bass Unit,edm,focused,0.74,128,0.56,0.84,0.06
100,Glass Garden,Clara Voss,classical,relaxed,0.20,68,0.72,0.26,0.95
